Function,Instance,Dimensions,NP,CR,F,MuSt,CRSt,Local Iterations,Workers,Evaluations,Migrations,Global Time,Chromosome,Target,Score,Stop Reason,Restarts
10,3,4,80,0.5,0.6,differenceVector,binomial,150,4,48080,4,53.237303899999915,(0.0719900402385;-0.806377449425;-3.13602505912;-0.13278916256),-491.52999998999996,-491.529999969,1,0
11,1,4,80,0.5,0.6,differenceVector,binomial,150,4,48080,4,25.36046230000011,(-0.93822563065;-3.15039361322;-1.24238196898;0.555895957263),76.27000000999999,76.2700000856,1,0
11,2,4,80,0.5,0.6,differenceVector,binomial,150,4,48080,4,24.519401100000096,(2.56555172028;2.57999963518;2.50950644079;-2.74241981018),-22.54999999,-22.5499999744,1,0
11,3,4,80,0.5,0.6,differenceVector,binomial,150,4,48080,4,25.596978499999977,(0.42709092626;2.22404689954;2.66024262237;0.348866056651),13.660000010000001,13.6600000728,1,0
12,1,4,80,0.5,0.6,differenceVector,binomial,150,4,48080,4,22.648532599999953,(-0.892017716047;3.99119941838;0.171199785255;-3.80079985421),-621.10999999,-621.109999997,1,0
12,2,4,80,0.5,0.6,differenceVector,binomial,150,4,192080,16,81.35283140000001,(3.74080392552;3.76076051531;-0.115398063889;-0.941776762792),-254.81999998999999,-254.819999602,1,0
12,3,4,80,0.5,0.6,differenceVector,binomial,150,4,72080,6,35.60353079999982,(-3.85120123989;-2.28080189886;-3.8671969701;0.683200233894),56.61000001,56.6100000309,1,0
13,1,4,80,0.5,0.6,differenceVector,binomial,150,4,72080,6,33.5833762000002,(0.874515069848;-1.70398241352;-3.66087387203;-1.94155367496),29.97000001,29.9700001504,1,0
13,2,4,80,0.5,0.6,differenceVector,binomial,150,4,72080,6,32.270401999999876,(2.60396930816;3.13272350011;-3.36163204961;-3.65609217251),-51.70999999,-51.7099995863,1,0
13,3,4,80,0.5,0.6,differenceVector,binomial,150,4,72080,6,31.519025600000077,(-3.61761431921;-3.95999066569;3.27599894207;-0.976003130997),-279.94999999,-279.949999955,1,0
14,1,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,11.916304000000082,(-0.873495553794;-1.24605805181;2.54177735355;-2.35886614174),-52.34999999,-52.3499996358,1,0
14,2,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,12.461498499999834,(0.793738658776;0.515524703318;-3.44775243374;2.39589264671),-179.53999998999998,-179.539999943,1,0
14,3,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,13.30923699999994,(0.896155411498;-0.608666647637;-2.12680290194;-1.88612312202),77.31000001,77.3100008922,1,0
15,1,4,80,0.5,0.6,differenceVector,binomial,150,4,60080,5,31.780119000000013,(-3.05680009215;3.00159995884;3.63919994674;3.59439993261),1000.00000001,1000.0,1,0
15,2,4,80,0.5,0.6,differenceVector,binomial,150,4,72080,6,36.03548610000007,(-0.850397974889;-2.49599858263;-3.98239740378;-1.97279634141),70.03000001,70.0300000139,1,0
15,3,4,80,0.5,0.6,differenceVector,binomial,150,4,48080,4,23.772200699999985,(-1.8424041897;-1.00720289719;-2.23519482849;0.212811451015),-48.21999999,-48.2199999197,1,0
16,1,4,80,0.5,0.6,differenceVector,binomial,150,4,120080,10,92.47780110000008,(3.72757470974;2.32442335081;0.184696072867;-2.62388359853),71.35000000999999,71.3500000001,1,0
16,2,4,80,0.5,0.6,differenceVector,binomial,150,4,120080,10,91.20371510000018,(-1.72762858827;1.79367019014;0.52348676566;1.1355455068),-355.21999999,-355.22,1,0
16,3,4,80,0.5,0.6,differenceVector,binomial,150,4,180080,15,139.91237809999984,(-0.457888956488;2.49015570573;-0.0192512425502;3.24368841606),99.17000001,99.1700000032,1,0
17,1,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,12.585258199999998,(3.65600000869;2.54959999661;-1.52960000736;1.46960006063),-16.93999999,-16.939999915,1,0
17,2,4,80,0.5,0.6,differenceVector,binomial,150,4,36080,3,19.271314800000027,(-0.191199986854;1.78079999561;-0.822399996196;-0.0336000071911),18.81000001,18.8100000237,1,0
17,3,4,80,0.5,0.6,differenceVector,binomial,150,4,36080,3,19.223404200000004,(-3.5792000265;3.75359994474;-0.478400000208;2.56880001241),273.15000001,273.15000027,1,0
18,1,4,80,0.5,0.6,differenceVector,binomial,150,4,48080,4,23.776729299999715,(3.65599999312;2.54959998987;-1.52960000654;1.46960006133),-16.93999999,-16.9399998601,1,0
18,2,4,80,0.5,0.6,differenceVector,binomial,150,4,72080,6,37.00304989999995,(-0.191200030189;1.78080002649;-0.822400002531;-0.0336000034747),18.81000001,18.8100003167,1,0
18,3,4,80,0.5,0.6,differenceVector,binomial,150,4,72080,6,37.297807999999804,(-3.57920011476;3.75359982216;-0.4784000547;2.56879985499),273.15000001,273.150000513,1,0
19,1,4,80,0.5,0.6,differenceVector,binomial,150,4,240080,20,103.36438910000015,(0.015586562174;-0.036033075145;-0.469553030608;-0.466719838624),-102.54999999,-102.532200515,0,3
19,2,4,80,0.5,0.6,differenceVector,binomial,150,4,228080,19,110.46259080000027,(-0.266396086558;0.534837812607;0.695350893649;-0.396896452603),71.69000000999999,71.690000012,1,3
19,3,4,80,0.5,0.6,differenceVector,binomial,150,4,240080,20,123.93304420000004,(0.83175700021;-0.341643606509;0.11088377118;0.279449209412),214.01000001,214.029877119,0,3
20,1,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,11.813836600000286,(-2.10484370053;2.10484377659;2.10484371937;-2.10484374097),-546.49999999,-546.5,1,0
20,2,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,12.564924400000109,(-2.10484370413;2.10484372519;-2.10484372698;-2.10484373471),1000.00000001,1000.0,1,0
20,3,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,12.268757399999686,(-2.10484394366;2.10484356337;2.10484374425;2.10484366234),208.38000001,208.38,1,0
